Fecha de la captura,Nombre Blockchain,Token,Nombre,Precio (en US$),Ranking,Clase
15/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
16/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
17/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
18/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
19/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
20/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
21/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
22/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
23/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
24/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
25/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
26/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
27/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
28/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
29/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
30/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
31/10/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
01/11/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
02/11/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
03/11/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
04/11/2023,Solana,SHIT,Shitcoin (SOL),0.01191658993251,2715.0,3
05/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
06/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
07/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
08/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
09/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
10/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
11/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
12/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
13/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
14/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
15/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
16/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
17/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
18/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
19/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
20/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
21/11/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
