name,symbol,quote,category,market_cap,price,volume_24h,circulating_supply,blockchain
SUNDOG,SUNDOG,0.3282669668458272,memes,327443924.0889405,0.3282669668458272,173464237.97542393,997492764.0,TRON
PepeCoin,PEPECOIN,2.28678379560484,memes,267626726.85439697,2.28678379560484,3829603.11729257,117031932.5197122,Ethereum
Aethir,ATH,0.0574054681346554,ai-big-data,232877540.0241117,0.0574054681346554,79334511.78868616,4056713543.0,Ethereum
Simon's Cat,CAT,3.319695973375353e-05,memes,224077995.3005764,3.319695973375353e-05,81161791.3574177,6749955330178.672,BNB
Dog (Runes),DOG,0.0020753250603741,memes,207532506.03741908,0.0020753250603741,5562789.75482884,100000000000.0,Bitcoin
Qubic,QUBIC,1.7509568971799228e-06,ai-big-data,195553692.5306081,1.7509568971799228e-06,916668.84312073,111683898584577.0,No asociado a ningun blockchain
Osaka Protocol,OSAK,2.48680318660674e-07,memes,186726525.87524047,2.48680318660674e-07,225260.28590573,750869738630302.0,Ethereum
Creditcoin,CTC,0.4113713051005728,real-world-assets,153065373.43631935,0.4113713051005728,4421985.10824925,372085684.0,Ethereum
Destra Network,DSYNC,0.1542945111792535,ai-big-data,149281897.18077752,0.1542945111792535,543423.07697434,967512687.5209932,Ethereum
Gigachad,GIGA,0.0159536047226728,memes,148407002.2286444,0.0159536047226728,2752120.04461118,9302411888.0,Solana
Casper,CSPR,0.0118688452014697,ai-big-data,146013182.67604083,0.0118688452014697,7322683.07706669,12302223190.0,No asociado a ningun blockchain
Ponke,PONKE,0.2375131848260123,memes,131949078.428962,0.2375131848260123,8307074.28304307,555544226.0,Solana
PAAL AI,PAAL,0.1597794319939111,ai-big-data,130943731.6782034,0.1597794319939111,2505942.45103503,819528083.459412,Ethereum
Ozone Chain,OZO,0.2383449806935739,ai-big-data,129445153.05605549,0.2383449806935739,159904.89728621,543099975.0,Ethereum
Neiro Ethereum,NEIRO,0.1265436999695645,memes,126543699.96956453,0.1265436999695645,43818781.4475271,1000000000.0,Ethereum
WHY,WHY,2.681491110489884e-07,memes,112622626.64057513,2.681491110489884e-07,4601854.29026821,420000000000000.0,BNB
inSure DeFi,SURE,0.0041076968245654,ai-big-data,110045457.4323883,0.0041076968245654,429496.50511449,26790063174.642704,Ethereum
0x0.ai,0x0,0.1257507618277028,ai-big-data,109222516.16195168,0.1257507618277028,170715.17403087,868563455.0,Ethereum
Non-Playable Coin,NPC,0.0144978856781416,memes,105091785.58312269,0.0144978856781416,2102567.11847777,7248766331.601632,Ethereum
Marlin,POND,0.0122760756202018,ai-big-data,99281239.0626558,0.0122760756202018,2913555.56054979,8087375977.0,Ethereum
Zentry,ZENT,0.0169138701987166,gaming,99101389.59114364,0.0169138701987166,3694997.39561945,5859178793.902713,Ethereum
MAGA,TRUMP,2.204026396379697,memes,96971336.19894104,2.204026396379697,1469833.04005855,43997357.0,Ethereum
Coq Inu,COQ,1.375866224268809e-06,memes,95512633.28874072,1.375866224268809e-06,2140203.99784541,69420000000000.0,Avalanche
Bone ShibaSwap,BONE,0.3894812521771228,memes,89550834.50535904,0.3894812521771228,2721702.94257148,229923350.6228802,Ethereum
